# artifact: hven IPQP E1 acceptance arm (M6 W1 T10, spec section 8 A4/Q4/A13/A14)
# producer: bench/ipqp_e1_arm.cpp (hven_sqp_ipqp_e1_arm)
# git describe: a142a1380890-dirty
# mode: mu-sweep
# date (UTC): 2026-09-01T13:27:39Z
# MKL_NUM_THREADS: 1
# OMP_NUM_THREADS: 1
# cell recipe: docs/notes/data/2026-08-m6-e1-acquisition/generator/e1_generate.cpp
# PIQP: NEVER run, linked or read as source here; its committed CSVs are the
#       oracle this arm is compared against (CLAUDE.md section 6).
# family: e1 = tier-direct A4 cell; hs/corpus = SqpDriver under kIpm;
# indefinite = tier-direct nonconvex QP fixture.
mu,family,id,status,wall_s,ipqp_iters,ipqp_factorizations,ipqp_symbolic_analyses,ipqp_solves,ipqp_pattern_verifies,ipqp_rho_demanded_max,ipqp_rho_demanded_last,ipqp_inertia_retries,ipqp_iters_at_elevated_rho,ipqp_ladder_reclimbs,ipqp_pivot_reroute_primal,ipqp_pivot_reroute_dual_fallback,ipqp_iters_ladder_armed_no_advance,ipqp_final_inertia_read,ipqp_reg_decreases,ipqp_reg_increases,ipqp_prox_center_updates,ipqp_restart_repairs,ipqp_restart_shift_max,ipqp_mu_adopted,ipqp_warm_restart_abandoned,ipqp_declined_pinned,ipqp_tier_retired_after,ipqp_face_uncertain,ipqp_refine_accepted,ipqp_refine_refused,ipqp_to_refine,ipqp_to_ssn,ipqp_to_walk,ipqp_escapes,ipqp_escape_budget,ipqp_escape_stall,ipqp_escape_indefinite,ipqp_escape_numerical,ipqp_escape_infeasible_suspect,ipqp_alpha_p_min,ipqp_alpha_d_min,ipqp_read_kept_tight_sides,ipqp_read_barrier_noise_sides
1.000000e-03,e1,e1_f7_n20000_af10_m1e-4,optimal,2.640388e+00,23,24,1,46,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,9689,0,0,0,0,0,0,0,0,0,0,0,1.727871e-01,1.674508e-01,0,0
1.000000e-02,e1,e1_f7_n20000_af10_m1e-4,optimal,2.565940e+00,22,23,1,44,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,9,0,9,0,0.000000e+00,0,0,0,0,7462,0,0,0,0,0,0,0,0,0,0,0,3.678718e-01,1.479838e-01,0,0
1.000000e-01,e1,e1_f7_n20000_af10_m1e-4,optimal,4.986438e+00,47,48,1,94,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,9,0,9,0,0.000000e+00,0,0,0,0,5181,0,0,0,0,0,0,0,0,0,0,0,4.602574e-02,3.392271e-03,0,0
1.000000e+00,e1,e1_f7_n20000_af10_m1e-4,optimal,5.353880e+00,51,52,1,102,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,5507,0,0,0,0,0,0,0,0,0,0,0,7.023073e-02,4.021560e-03,0,0
1.000000e-03,e1,e1_f7_n20000_af10_m1e-6,optimal,3.995059e+00,37,38,1,74,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,11,0,12,0,0.000000e+00,0,0,0,0,10775,0,0,0,0,0,0,0,0,0,0,0,5.538878e-02,6.490513e-03,0,0
1.000000e-02,e1,e1_f7_n20000_af10_m1e-6,optimal,3.136946e+00,28,29,1,56,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,11,0,12,0,0.000000e+00,0,0,0,0,11055,0,0,0,0,0,0,0,0,0,0,0,7.848542e-02,5.645422e-03,0,0
1.000000e-01,e1,e1_f7_n20000_af10_m1e-6,optimal,8.747014e+00,86,87,1,172,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,11119,0,0,0,0,0,0,0,0,0,0,0,8.216587e-02,1.324731e-03,0,0
1.000000e+00,e1,e1_f7_n20000_af10_m1e-6,optimal,4.337938e+00,41,42,1,82,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,9,0,9,0,0.000000e+00,0,0,0,0,7642,0,0,0,0,0,0,0,0,0,0,0,2.071136e-01,9.176804e-03,0,0
1.000000e-03,e1,e1_f7_n20000_af30_m1e-2,optimal,3.515964e+00,32,33,1,64,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,9,0,9,0,0.000000e+00,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,1.450300e-01,5.975985e-04,0,0
1.000000e-02,e1,e1_f7_n20000_af30_m1e-2,optimal,2.172659e+00,18,19,1,36,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,9,0,9,0,0.000000e+00,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3.431051e-01,3.166912e-02,0,0
