arm,task,sha,round,row_index,row,wall_s
04,T8.3,510a4bb,2,10,f7_n20000_bound_neutral/MakeConstraint,1.099178095
04,T8.3,510a4bb,2,11,f7_n20000_bound_neutral/RelaxBounds,1.092441127
04,T8.3,510a4bb,2,12,hs071_x1_fixed/MakeParameter,0.000174679
04,T8.3,510a4bb,2,13,hs071_x1_fixed/MakeConstraint,0.000126579
04,T8.3,510a4bb,2,14,hs071_x1_fixed/RelaxBounds,0.000142640
04,T8.3,510a4bb,2,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.016017662
04,T8.3,510a4bb,2,16,hs071_x1_fixed/MakeParameter/cap1,0.000074820
04,T8.3,510a4bb,2,17,infeas2_spike/MakeParameter/stalled,0.000576527
04,T8.3,510a4bb,2,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000181689
04,T8.3,510a4bb,3,0,f7_n1000_bound_physics/MakeParameter,0.373622713
04,T8.3,510a4bb,3,1,f7_n1000_bound_physics/MakeConstraint,0.031904535
04,T8.3,510a4bb,3,2,f7_n1000_bound_physics/RelaxBounds,0.031914154
04,T8.3,510a4bb,3,3,f7_n5000_bound_physics/MakeParameter,0.178922560
04,T8.3,510a4bb,3,4,f7_n5000_bound_physics/MakeConstraint,0.173171478
04,T8.3,510a4bb,3,5,f7_n5000_bound_physics/RelaxBounds,0.173083578
04,T8.3,510a4bb,3,6,f7_n10000_bound_neutral/MakeParameter,0.541277658
04,T8.3,510a4bb,3,7,f7_n10000_bound_neutral/MakeConstraint,0.531374846
04,T8.3,510a4bb,3,8,f7_n10000_bound_neutral/RelaxBounds,0.524228651
04,T8.3,510a4bb,3,9,f7_n20000_bound_neutral/MakeParameter,1.129759706
04,T8.3,510a4bb,3,10,f7_n20000_bound_neutral/MakeConstraint,1.095198894
04,T8.3,510a4bb,3,11,f7_n20000_bound_neutral/RelaxBounds,1.095126484
04,T8.3,510a4bb,3,12,hs071_x1_fixed/MakeParameter,0.000173669
04,T8.3,510a4bb,3,13,hs071_x1_fixed/MakeConstraint,0.000124639
04,T8.3,510a4bb,3,14,hs071_x1_fixed/RelaxBounds,0.000129569
04,T8.3,510a4bb,3,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.016076312
04,T8.3,510a4bb,3,16,hs071_x1_fixed/MakeParameter/cap1,0.000075139
04,T8.3,510a4bb,3,17,infeas2_spike/MakeParameter/stalled,0.000589947
04,T8.3,510a4bb,3,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000181709
04,T8.3,510a4bb,4,0,f7_n1000_bound_physics/MakeParameter,0.734735217
