arm,arm_label,row,round,wall_s
a4,E2,f7_n5000_bound_physics/RelaxBounds,5,0.177710770
a4,E2,f7_n10000_bound_neutral/MakeParameter,5,0.554164059
a4,E2,f7_n10000_bound_neutral/MakeConstraint,5,0.536380605
a4,E2,f7_n10000_bound_neutral/RelaxBounds,5,0.538622434
a4,E2,f7_n20000_bound_neutral/MakeParameter,5,1.157530570
a4,E2,f7_n20000_bound_neutral/MakeConstraint,5,1.114162560
a4,E2,f7_n20000_bound_neutral/RelaxBounds,5,1.117175775
a4,E2,hs071_x1_fixed/MakeParameter,5,0.000176589
a4,E2,hs071_x1_fixed/MakeConstraint,5,0.000137669
a4,E2,hs071_x1_fixed/RelaxBounds,5,0.000143969
