arm,kind,round,row_index,row,wall_s
e4,E2,4,5,f7_n5000_bound_physics/RelaxBounds,0.173564508
e4,E2,4,6,f7_n10000_bound_neutral/MakeParameter,0.539751472
e4,E2,4,7,f7_n10000_bound_neutral/MakeConstraint,0.525011113
e4,E2,4,8,f7_n10000_bound_neutral/RelaxBounds,0.520928643
e4,E2,4,9,f7_n20000_bound_neutral/MakeParameter,1.127169612
e4,E2,4,10,f7_n20000_bound_neutral/MakeConstraint,1.091440575
e4,E2,4,11,f7_n20000_bound_neutral/RelaxBounds,1.093349195
e4,E2,4,12,hs071_x1_fixed/MakeParameter,0.000172349
e4,E2,4,13,hs071_x1_fixed/MakeConstraint,0.000124199
e4,E2,4,14,hs071_x1_fixed/RelaxBounds,0.000127860
e4,E2,4,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.016071232
e4,E2,4,16,hs071_x1_fixed/MakeParameter/cap1,0.000074939
e4,E2,4,17,infeas2_spike/MakeParameter/stalled,0.000599557
e4,E2,4,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000179549
e4,E2,5,0,f7_n1000_bound_physics/MakeParameter,0.309371519
e4,E2,5,1,f7_n1000_bound_physics/MakeConstraint,0.031989945
e4,E2,5,2,f7_n1000_bound_physics/RelaxBounds,0.031826476
e4,E2,5,3,f7_n5000_bound_physics/MakeParameter,0.178764213
e4,E2,5,4,f7_n5000_bound_physics/MakeConstraint,0.173211580
e4,E2,5,5,f7_n5000_bound_physics/RelaxBounds,0.174460914
e4,E2,5,6,f7_n10000_bound_neutral/MakeParameter,0.538280009
e4,E2,5,7,f7_n10000_bound_neutral/MakeConstraint,0.523896928
e4,E2,5,8,f7_n10000_bound_neutral/RelaxBounds,0.521540779
e4,E2,5,9,f7_n20000_bound_neutral/MakeParameter,1.127825808
e4,E2,5,10,f7_n20000_bound_neutral/MakeConstraint,1.091359735
