arm,commit,sha,round,row_index,row,wall_s
03,9cebbbe,9cebbbe,3,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.017028527
03,9cebbbe,9cebbbe,3,16,hs071_x1_fixed/MakeParameter/cap1,0.000082560
03,9cebbbe,9cebbbe,3,17,infeas2_spike/MakeParameter/stalled,0.000632047
03,9cebbbe,9cebbbe,3,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000197889
03,9cebbbe,9cebbbe,4,0,f7_n1000_bound_physics/MakeParameter,0.273341024
03,9cebbbe,9cebbbe,4,1,f7_n1000_bound_physics/MakeConstraint,0.032923251
03,9cebbbe,9cebbbe,4,2,f7_n1000_bound_physics/RelaxBounds,0.033219209
03,9cebbbe,9cebbbe,4,3,f7_n5000_bound_physics/MakeParameter,0.188335876
03,9cebbbe,9cebbbe,4,4,f7_n5000_bound_physics/MakeConstraint,0.180718804
03,9cebbbe,9cebbbe,4,5,f7_n5000_bound_physics/RelaxBounds,0.180295975
03,9cebbbe,9cebbbe,4,6,f7_n10000_bound_neutral/MakeParameter,0.559673795
03,9cebbbe,9cebbbe,4,7,f7_n10000_bound_neutral/MakeConstraint,0.540538558
03,9cebbbe,9cebbbe,4,8,f7_n10000_bound_neutral/RelaxBounds,0.542840226
03,9cebbbe,9cebbbe,4,9,f7_n20000_bound_neutral/MakeParameter,1.169119478
03,9cebbbe,9cebbbe,4,10,f7_n20000_bound_neutral/MakeConstraint,1.135032703
03,9cebbbe,9cebbbe,4,11,f7_n20000_bound_neutral/RelaxBounds,1.133896269
03,9cebbbe,9cebbbe,4,12,hs071_x1_fixed/MakeParameter,0.000182229
03,9cebbbe,9cebbbe,4,13,hs071_x1_fixed/MakeConstraint,0.000137839
03,9cebbbe,9cebbbe,4,14,hs071_x1_fixed/RelaxBounds,0.000138450
03,9cebbbe,9cebbbe,4,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.017042847
03,9cebbbe,9cebbbe,4,16,hs071_x1_fixed/MakeParameter/cap1,0.000081929
03,9cebbbe,9cebbbe,4,17,infeas2_spike/MakeParameter/stalled,0.000614697
03,9cebbbe,9cebbbe,4,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000194170
03,9cebbbe,9cebbbe,5,0,f7_n1000_bound_physics/MakeParameter,0.306770911
03,9cebbbe,9cebbbe,5,1,f7_n1000_bound_physics/MakeConstraint,0.033027910
03,9cebbbe,9cebbbe,5,2,f7_n1000_bound_physics/RelaxBounds,0.033008860
03,9cebbbe,9cebbbe,5,3,f7_n5000_bound_physics/MakeParameter,0.188625715
03,9cebbbe,9cebbbe,5,4,f7_n5000_bound_physics/MakeConstraint,0.180280975
03,9cebbbe,9cebbbe,5,5,f7_n5000_bound_physics/RelaxBounds,0.184430815
03,9cebbbe,9cebbbe,5,6,f7_n10000_bound_neutral/MakeParameter,0.563990574
03,9cebbbe,9cebbbe,5,7,f7_n10000_bound_neutral/MakeConstraint,0.542284549
03,9cebbbe,9cebbbe,5,8,f7_n10000_bound_neutral/RelaxBounds,0.543778302
03,9cebbbe,9cebbbe,5,9,f7_n20000_bound_neutral/MakeParameter,1.172336372
03,9cebbbe,9cebbbe,5,10,f7_n20000_bound_neutral/MakeConstraint,1.139757079
03,9cebbbe,9cebbbe,5,11,f7_n20000_bound_neutral/RelaxBounds,1.137168793
03,9cebbbe,9cebbbe,5,12,hs071_x1_fixed/MakeParameter,0.000201239
03,9cebbbe,9cebbbe,5,13,hs071_x1_fixed/MakeConstraint,0.000140059
03,9cebbbe,9cebbbe,5,14,hs071_x1_fixed/RelaxBounds,0.000141500
03,9cebbbe,9cebbbe,5,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.017151727
03,9cebbbe,9cebbbe,5,16,hs071_x1_fixed/MakeParameter/cap1,0.000084130
03,9cebbbe,9cebbbe,5,17,infeas2_spike/MakeParameter/stalled,0.000640326
03,9cebbbe,9cebbbe,5,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000202079
04,9ce9bb2,9ce9bb2,1,0,f7_n1000_bound_physics/MakeParameter,0.182960722
04,9ce9bb2,9ce9bb2,1,1,f7_n1000_bound_physics/MakeConstraint,0.032972740
04,9ce9bb2,9ce9bb2,1,2,f7_n1000_bound_physics/RelaxBounds,0.032930260
04,9ce9bb2,9ce9bb2,1,3,f7_n5000_bound_physics/MakeParameter,0.187796899
04,9ce9bb2,9ce9bb2,1,4,f7_n5000_bound_physics/MakeConstraint,0.179588629
04,9ce9bb2,9ce9bb2,1,5,f7_n5000_bound_physics/RelaxBounds,0.180938402
04,9ce9bb2,9ce9bb2,1,6,f7_n10000_bound_neutral/MakeParameter,0.558471450
04,9ce9bb2,9ce9bb2,1,7,f7_n10000_bound_neutral/MakeConstraint,0.539616992
04,9ce9bb2,9ce9bb2,1,8,f7_n10000_bound_neutral/RelaxBounds,0.541506493
04,9ce9bb2,9ce9bb2,1,9,f7_n20000_bound_neutral/MakeParameter,1.171689065
04,9ce9bb2,9ce9bb2,1,10,f7_n20000_bound_neutral/MakeConstraint,1.131659479
04,9ce9bb2,9ce9bb2,1,11,f7_n20000_bound_neutral/RelaxBounds,1.138883594
04,9ce9bb2,9ce9bb2,1,12,hs071_x1_fixed/MakeParameter,0.000181460
04,9ce9bb2,9ce9bb2,1,13,hs071_x1_fixed/MakeConstraint,0.000137869
04,9ce9bb2,9ce9bb2,1,14,hs071_x1_fixed/RelaxBounds,0.000135999
04,9ce9bb2,9ce9bb2,1,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.017013247
04,9ce9bb2,9ce9bb2,1,16,hs071_x1_fixed/MakeParameter/cap1,0.000081400
04,9ce9bb2,9ce9bb2,1,17,infeas2_spike/MakeParameter/stalled,0.000612287
04,9ce9bb2,9ce9bb2,1,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000188769
